emp_no,first_name,last_name,title,dept_no,dept_name
10282,Hercules,Benzmuller,Engineer,d004,Production
10283,Kauko,Birjandi,Senior Engineer,d005,Development
10284,Masali,Murrill,Engineer,d004,Production
10295,Kristine,Velardi,Senior Staff,d002,Finance
10298,Dietrich,DuCasse,Staff,d004,Production
10306,Heng,Kilgour,Staff,d007,Sales
10307,Nikolaos,Leaver,Engineer,d004,Production
10322,Isamu,Dahlbom,Senior Engineer,d005,Development
10325,Arunachalam,Badr,Senior Staff,d003,Human Resources
10326,Masali,Czap,Staff,d008,Research
10328,Serenella,Kawashima,Engineer,d005,Development
10333,Snehasis,Dymetman,Senior Engineer,d005,Development
10340,Djelloul,Laventhal,Senior Staff,d001,Marketing
10343,Dinah,Syrzycki,Senior Engineer,d006,Quality Management
10347,Pradeep,Kaminger,Staff,d008,Research
10349,Oksana,Brodie,Senior Staff,d009,Customer Service
10353,Phule,Hammerschmidt,Senior Staff,d001,Marketing
10355,Satyanarayana,Cochrane,Staff,d007,Sales
10356,Vasilis,Standera,Senior Staff,d008,Research
10358,Qunsheng,Tagansky,Technique Leader,d005,Development
10364,Nakhoon,Dengi,Senior Engineer,d004,Production
10367,Hyuckchul,Gini,Senior Staff,d001,Marketing
10372,Anneli,Frijda,Technique Leader,d004,Production
10377,Marl,Grospietsch,Senior Engineer,d004,Production
10387,Parto,Wrigley,Senior Staff,d009,Customer Service
10388,Hironoby,Kaiser,Staff,d007,Sales
10389,Make,Peir,Technique Leader,d005,Development
10396,Sibyl,Rahier,Senior Engineer,d005,Development
10397,Irena,Reutenauer,Technique Leader,d004,Production
10402,Volkmar,Ebeling,Technique Leader,d006,Quality Management
10404,Prodip,Rosti,Senior Engineer,d005,Development
10407,Ulf,Siepmann,Senior Staff,d007,Sales
10413,Danel,Impagliazzo,Senior Staff,d003,Human Resources
10418,Candida,Porotnikoff,Staff,d001,Marketing
10422,Greger,Rubsam,Engineer,d006,Quality Management
10426,Arunas,Luce,Technique Leader,d005,Development
10429,Martien,Improta,Senior Engineer,d005,Development
10432,Hisao,Tiemann,Senior Staff,d009,Customer Service
10433,Reuven,Dengi,Engineer,d006,Quality Management
10451,Bodh,Ranta,Senior Engineer,d004,Production
10453,Tsvetan,Matzel,Senior Staff,d009,Customer Service
10463,Ung,Zaiane,Staff,d007,Sales
10477,Guoxiang,Trogemann,Senior Engineer,d005,Development
10486,Amstein,Kossowski,Senior Engineer,d006,Quality Management
10494,Yakkov,Servieres,Senior Engineer,d004,Production
10497,Pramod,Rabehasaina,Senior Engineer,d004,Production
10499,Maik,Luft,Senior Staff,d001,Marketing
10503,Dannz,Pell,Engineer,d004,Production
10504,Xiong,Varker,Staff,d007,Sales
10509,Abdelwaheb,Riesenhuber,Senior Staff,d007,Sales
10512,Udi,Gihr,Senior Staff,d003,Human Resources
10517,Tiina,Speek,Senior Staff,d007,Sales
10522,Marke,Cesareni,Senior Staff,d003,Human Resources
10529,Ymte,Yetto,Assistant Engineer,d004,Production
10531,Oguz,Gimbel,Staff,d003,Human Resources
10542,Yannis,Couchot,Senior Engineer,d005,Development
10548,Ramalingam,Gunderson,Senior Staff,d001,Marketing
10552,Kazuhito,Shiratori,Senior Engineer,d004,Production
10564,Jianhao,Thisen,Senior Engineer,d004,Production
10568,Gao,Poulakidas,Staff,d007,Sales
10586,Kirk,Vuskovic,Senior Engineer,d004,Production
10593,Falguni,Kenevan,Senior Engineer,d004,Production
10596,Sanjit,Coors,Senior Staff,d007,Sales
10603,Wayne,Restivo,Staff,d007,Sales
10610,Irena,Roccetti,Engineer,d005,Development
10614,Gila,Ozeri,Senior Engineer,d004,Production
10615,Keung,Delgrande,Senior Staff,d002,Finance
10623,Aleksander,Danlos,Senior Engineer,d005,Development
10624,Sham,Gyorkos,Technique Leader,d004,Production
10628,Krisda,Krogh,Senior Engineer,d005,Development
10630,Bezalel,Katzenelson,Engineer,d004,Production
10631,Inderjeet,Chaudhuri,Engineer,d005,Development
10634,Nahid,Chepyzhov,Senior Engineer,d008,Research
10636,Saeko,Porotnikoff,Staff,d003,Human Resources
10639,Pramod,Erol,Senior Engineer,d005,Development
10641,Guozhong,Zucker,Engineer,d005,Development
10642,Hirochika,Narlikar,Engineer,d005,Development
10653,Otmar,Feinberg,Senior Engineer,d005,Development
10667,Makato,Cusworth,Senior Staff,d009,Customer Service
10671,Parviz,Rebaine,Senior Staff,d003,Human Resources
10676,Valeri,Danley,Engineer,d005,Development
10683,Guiseppe,Stranks,Senior Engineer,d004,Production
10693,Berhard,Daescu,Senior Staff,d009,Customer Service
10696,Unal,Fendler,Technique Leader,d005,Development
10702,Bader,Szemeredi,Senior Engineer,d005,Development
10712,Uma,Koprowski,Senior Engineer,d005,Development
10718,Adib,Rullman,Senior Engineer,d005,Development
10726,Zita,Minakawa,Senior Engineer,d005,Development
10734,Sachar,Erdi,Engineer,d004,Production
10741,Sven,Huttel,Senior Staff,d001,Marketing
10742,Shim,Wiegley,Technique Leader,d005,Development
10745,Poorav,Ranze,Senior Engineer,d004,Production
10749,King,Brendel,Senior Engineer,d004,Production
10750,Roddy,Demeyer,Technique Leader,d005,Development
10764,Yunming,Beetstra,Senior Engineer,d005,Development
10767,Monique,Doering,Staff,d007,Sales
10768,Ishfaq,Candan,Senior Engineer,d004,Production
10778,Selwyn,Merey,Senior Staff,d001,Marketing
10791,Tadahiko,Sgarro,Senior Engineer,d005,Development
10795,Supot,Naudin,Senior Staff,d007,Sales
10808,Chenxi,Leijenhorst,Senior Engineer,d005,Development
10811,Ashish,Fortenbacher,Engineer,d004,Production
10813,Shalesh,Shumilov,Senior Staff,d007,Sales
10814,Nidapan,Dymetman,Senior Staff,d007,Sales
10826,Arnd,Anandan,Senior Engineer,d005,Development
10827,Willard,Danley,Staff,d002,Finance
10830,Fen,Fiebach,Senior Staff,d001,Marketing
10831,Toong,Driscoll,Technique Leader,d005,Development
10833,Krisda,Gecseg,Technique Leader,d006,Quality Management
10834,Huiqun,Rajcani,Engineer,d004,Production
10835,Tomoyuki,Kermarrec,Engineer,d004,Production
10836,Jianhua,Leivant,Senior Staff,d007,Sales
10844,Dipayan,Koprowski,Engineer,d005,Development
10846,Tokuyasu,Serre,Senior Engineer,d008,Research
10847,Theirry,Danley,Senior Staff,d008,Research
10848,Fen,Bratsberg,Senior Engineer,d004,Production
10849,Makato,Mayerwieser,Engineer,d005,Development
10854,Jagoda,Nannarelli,Engineer,d005,Development
10858,Kenroku,Gonthier,Senior Engineer,d005,Development
10871,Aram,Gilg,Staff,d009,Customer Service
10872,Karoline,Speel,Senior Staff,d002,Finance
10873,Sukumar,Wegerle,Staff,d002,Finance
10878,Lakshmi,Deville,Staff,d007,Sales
10879,Muzhong,Chleq,Senior Engineer,d005,Development
10882,Fun,Heuser,Engineer,d005,Development
10883,Shimshon,Champarnaud,Engineer,d004,Production
10885,Rayond,Cronau,Senior Staff,d001,Marketing
10887,Lunjin,DeMori,Senior Engineer,d005,Development
10900,Ferdinand,Prenel,Senior Engineer,d005,Development
10906,Munehiro,Carrere,Staff,d002,Finance
10909,Georgi,Atchley,Senior Engineer,d005,Development
10913,Narain,Thummel,Staff,d002,Finance
10920,Ronghao,Narahara,Senior Staff,d003,Human Resources
10921,Mara,Bahi,Senior Engineer,d004,Production
10924,Hironoby,Atchley,Senior Staff,d007,Sales
10926,Leni,Eppinger,Senior Engineer,d009,Customer Service
10927,Gal,Scallan,Senior Staff,d001,Marketing
10930,Arch,Minakawa,Senior Engineer,d004,Production
10932,Avishai,Picci,Senior Engineer,d005,Development
10936,Mountaz,Schicker,Senior Staff,d003,Human Resources
10942,Toshimitsu,Larfeldt,Engineer,d005,Development
10943,Berna,Skafidas,Senior Engineer,d005,Development
10944,Remko,Zyda,Senior Engineer,d004,Production
10947,Gor,Usery,Senior Staff,d009,Customer Service
10949,Shigeichiro,Wroclawski,Senior Staff,d002,Finance
10956,Arno,Picel,Engineer,d005,Development
10965,Eckart,Braunschweig,Senior Staff,d007,Sales
10969,Premal,Noriega,Senior Engineer,d005,Development
10974,Muneo,Papsdorf,Senior Engineer,d005,Development
10986,Masako,Schiper,Technique Leader,d005,Development
10987,Flemming,Baezner,Engineer,d005,Development
10988,Chinya,Deyuan,Senior Engineer,d005,Development
10989,Sumali,Candan,Senior Staff,d002,Finance
10990,Shin,Foote,Technique Leader,d005,Development
10996,Matk,Rahimi,Senior Staff,d007,Sales
11004,JoAnna,Decleir,Senior Engineer,d004,Production
11009,Alper,Axelband,Senior Staff,d007,Sales
11012,Taegyun,Speckmann,Staff,d001,Marketing
11019,Leon,Huttel,Senior Engineer,d005,Development
11021,Srinidhi,Henders,Staff,d008,Research
11027,Remzi,Cappello,Senior Engineer,d004,Production
11031,Ottavia,Walstra,Senior Staff,d001,Marketing
11032,Erez,Schaaf,Staff,d005,Development
11037,Lansing,Maliniak,Senior Engineer,d004,Production
11038,Jinya,Beidas,Senior Staff,d008,Research
11042,Gou,Breugel,Senior Engineer,d005,Development
11048,Jaques,Demke,Senior Staff,d007,Sales
11050,Elvis,Katiyar,Senior Staff,d001,Marketing
11051,Przemyslawa,Erol,Senior Engineer,d004,Production
11056,Palash,Speel,Staff,d007,Sales
11061,Pintsang,Erni,Senior Staff,d002,Finance
11064,Shawna,Vieri,Senior Engineer,d004,Production
11066,Shaz,Langford,Senior Staff,d002,Finance
11070,Adib,Raney,Senior Engineer,d006,Quality Management
11071,Kwan,Sigstam,Senior Engineer,d005,Development
11075,Karsten,Belinskaya,Senior Engineer,d004,Production
11079,Piyush,Garigliano,Senior Engineer,d005,Development
11081,Barry,Boyle,Senior Staff,d002,Finance
11083,Shimshon,Ducloy,Senior Staff,d002,Finance
11084,Greger,Senzako,Senior Engineer,d004,Production
11085,Hailing,Thummel,Senior Engineer,d004,Production
11087,Changho,Jayawardene,Senior Engineer,d004,Production
11089,Conal,Henders,Senior Staff,d007,Sales
11091,Souichi,Ramsay,Engineer,d004,Production
11092,Narain,Stamatiou,Staff,d001,Marketing
11098,Arnd,Covnot,Engineer,d005,Development
11100,Berna,Cochrane,Senior Staff,d008,Research
11106,Aris,Iwayama,Senior Engineer,d005,Development
11111,Udi,Zastre,Assistant Engineer,d004,Production
11112,Boaz,Mukaidono,Staff,d009,Customer Service
11113,Shahab,Peng,Senior Staff,d001,Marketing
11121,Vugranam,Kakkad,Senior Engineer,d005,Development
11130,Xinyu,Menhoudj,Senior Staff,d003,Human Resources
11132,Kristin,Harnett,Senior Engineer,d004,Production
11133,Nalini,Azulay,Technique Leader,d006,Quality Management
11134,Sachar,Rajcani,Senior Engineer,d006,Quality Management
11137,Hugh,Luca,Engineer,d005,Development
11139,Bogdan,Homond,Senior Staff,d009,Customer Service
11143,Yongdong,Rosen,Engineer,d005,Development
11144,Carrsten,Heinisuo,Senior Staff,d007,Sales
11146,Ishfaq,Masand,Senior Staff,d007,Sales
11147,Ayonca,Nitsch,Engineer,d005,Development
11148,Zhanqiu,Botman,Senior Staff,d002,Finance
11158,Masaki,Hagimont,Senior Engineer,d004,Production
11162,Kauko,Narlikar,Senior Engineer,d005,Development
11168,Shmuel,Tetzlaff,Senior Staff,d007,Sales
11170,Minghong,Cannard,Senior Engineer,d005,Development
11174,Akhilish,Milicia,Engineer,d004,Production
11177,Chrisa,dAstous,Senior Engineer,d005,Development
11180,Mitsuyuki,Bojadziev,Senior Engineer,d005,Development
11181,Hausi,Cullers,Engineer,d005,Development
11185,Aloys,Baezner,Senior Staff,d009,Customer Service
11186,Kshitij,Stasinski,Senior Engineer,d004,Production
11189,Dante,Bodoff,Senior Staff,d007,Sales
11192,Apostol,Bahr,Engineer,d006,Quality Management
11197,Tadahiro,Fordan,Senior Staff,d007,Sales
11201,Jouko,Masaki,Staff,d008,Research
11204,Diederik,Covnot,Technique Leader,d004,Production
11207,Saeed,Gips,Engineer,d005,Development
11208,Saniya,Valtorta,Technique Leader,d004,Production
11211,Yurij,Rissland,Senior Engineer,d004,Production
11213,Vugranam,Munoz,Technique Leader,d004,Production
11217,Kellie,Mawatari,Senior Engineer,d004,Production
11229,Gretta,Ramamoorthy,Senior Engineer,d004,Production
11232,Hidefumi,Crelier,Senior Staff,d009,Customer Service
11233,Sanjit,Waschkowski,Senior Engineer,d005,Development
11240,Kiam,Condotta,Engineer,d005,Development
11243,Udi,Desikan,Assistant Engineer,d004,Production
11249,Randi,Cyre,Engineer,d005,Development
11251,Bezalel,Chinal,Senior Staff,d001,Marketing
11253,Koldo,Pokrovskii,Senior Engineer,d005,Development
11254,Danel,Rindone,Staff,d007,Sales
11258,Aris,Maccarone,Senior Staff,d009,Customer Service
11266,Florina,Rohrbach,Senior Engineer,d006,Quality Management
11267,Shaunak,Zaumen,Senior Engineer,d005,Development
11268,Aimee,Petersohn,Senior Engineer,d004,Production
11274,Masanao,Nicolson,Staff,d009,Customer Service
11275,Hitomi,Eppinger,Senior Engineer,d005,Development
11289,Chuanti,Cherinka,Senior Engineer,d005,Development
11290,Visit,Dredge,Engineer,d005,Development
11292,Souichi,Sichman,Senior Engineer,d005,Development
11294,Tru,Segond,Senior Engineer,d005,Development
11295,Abdelkader,Lanzelotte,Senior Staff,d002,Finance
11296,Hironobu,Kenevan,Senior Engineer,d004,Production
11301,Mingzeng,Oxenboll,Senior Staff,d003,Human Resources
11317,Shigeaki,Hagimont,Senior Staff,d005,Development
11319,Pranas,Marrakchi,Assistant Engineer,d005,Development
11320,Atilio,McAlpine,Senior Staff,d001,Marketing
11322,Nathalie,Pocchiola,Senior Engineer,d006,Quality Management
11324,Kauko,Billingsley,Senior Engineer,d004,Production
11325,Samphel,Rossi,Engineer,d005,Development
11326,Munenori,Plesums,Senior Engineer,d005,Development
11338,Kwangsub,Hanratty,Senior Staff,d007,Sales
11339,Flemming,Massonet,Senior Engineer,d004,Production
11340,Aris,Bala,Senior Engineer,d004,Production
11343,Susanne,Erez,Senior Engineer,d005,Development
11347,Anneli,Jonsson,Senior Engineer,d005,Development
11349,Yurii,Hammerschmidt,Engineer,d004,Production
11360,Fen,Schach,Senior Staff,d007,Sales
11365,Toshimi,Shinomoto,Engineer,d004,Production
11373,Yongmao,Keohane,Senior Staff,d009,Customer Service
11376,Valery,Suomi,Senior Staff,d008,Research
11380,Kenroku,Pelc,Senior Engineer,d005,Development
11385,Shiv,Ullian,Engineer,d004,Production
11386,Alselm,Assaf,Senior Engineer,d006,Quality Management
11393,Junsik,Junot,Senior Engineer,d004,Production
11396,Anneke,Servieres,Engineer,d005,Development
11398,Oscar,Peir,Senior Staff,d002,Finance
11401,Huan,Merey,Staff,d007,Sales
11404,Bedrich,Borovoy,Technique Leader,d005,Development
11406,Eberhardt,Gini,Senior Staff,d008,Research
11410,Gro,Vendrig,Engineer,d005,Development
11415,Sanjiv,Anido,Engineer,d004,Production
11417,Anneli,Cyne,Technique Leader,d006,Quality Management
11418,Satosi,Cooley,Senior Staff,d001,Marketing
11420,Tsutomu,Lalonde,Senior Staff,d003,Human Resources
11421,Josyula,Msuda,Senior Engineer,d004,Production
11423,Guangming,Kopetz,Staff,d009,Customer Service
11425,Renee,Crelier,Senior Engineer,d005,Development
11441,Marlo,Aingworth,Senior Staff,d007,Sales
11446,Naftali,Narahara,Senior Engineer,d005,Development
11449,Kotesh,Asser,Senior Engineer,d004,Production
11451,Eben,Rajaraman,Senior Engineer,d004,Production
11452,Shigehito,Luby,Senior Staff,d009,Customer Service
11459,Duke,Suomi,Senior Staff,d003,Human Resources
11460,Mana,Maraist,Senior Engineer,d004,Production
11469,Guttorm,Giaccio,Senior Engineer,d004,Production
11474,Gennady,Akazan,Engineer,d004,Production
11476,Manton,Yoshizawa,Staff,d001,Marketing
11479,Shridhar,Pleszkun,Staff,d002,Finance
11503,Nathan,Picht,Senior Engineer,d005,Development
11506,Rance,Picel,Staff,d007,Sales
11509,Aleksander,Feldhoffer,Senior Engineer,d005,Development
11513,Otmar,Mahnke,Senior Staff,d002,Finance
11515,Ulf,Basawa,Staff,d007,Sales
11518,Jinxi,Oxman,Senior Staff,d003,Human Resources
11519,Halsur,Chinen,Senior Staff,d007,Sales
11523,Yuguang,Pezzoli,Engineer,d005,Development
11524,Xiadong,Standera,Senior Engineer,d005,Development
11527,Alagu,Boyle,Staff,d001,Marketing
11528,Zito,Dolinsky,Technique Leader,d004,Production
11531,Radhika,Motley,Technique Leader,d004,Production
11533,Vitaly,Lorch,Technique Leader,d005,Development
11537,DAIDA,Pehl,Senior Staff,d007,Sales
11540,Chanjung,Portugali,Senior Engineer,d004,Production
11554,Subhash,Taubenfeld,Staff,d001,Marketing
11555,Kotesh,Perfilyeva,Senior Staff,d003,Human Resources
11567,Teiji,Mitzlaff,Senior Staff,d007,Sales
11568,Martins,Fujisaki,Senior Engineer,d005,Development
11573,Pranas,Hutton,Senior Engineer,d005,Development
11575,Godehard,Plotkin,Engineer,d005,Development
11577,Mayumi,Deyuan,Senior Engineer,d006,Quality Management
11581,Patricio,Rosenbaum,Senior Engineer,d005,Development
11587,Shem,Zambonelli,Senior Engineer,d005,Development
11589,Gina,Plessier,Senior Engineer,d005,Development
11595,Takanari,Kamber,Senior Staff,d001,Marketing
11596,Yannik,Gunderson,Staff,d002,Finance
11602,Somnath,Malabarba,Senior Staff,d001,Marketing
11603,Herb,Swen,Senior Staff,d002,Finance
11606,Perry,Pepe,Senior Staff,d009,Customer Service
11607,Tomokazu,Foong,Engineer,d004,Production
11615,Shem,Isaak,Senior Staff,d007,Sales
11616,Zhilian,Brendel,Engineer,d004,Production
11624,Adil,Gammage,Senior Engineer,d004,Production
11628,Fan,Malinowski,Senior Engineer,d005,Development
11640,Valeri,Coorg,Senior Engineer,d005,Development
11641,Chikako,Rothenberg,Senior Engineer,d005,Development
11644,Sanjit,Zaiane,Assistant Engineer,d004,Production
11646,Lobel,Rubsam,Engineer,d005,Development
11647,Magy,Nitsche,Senior Engineer,d005,Development
11649,Shen,Bernardinello,Technique Leader,d005,Development
11660,Gill,Stenning,Senior Staff,d007,Sales
11664,Oksana,Brizzi,Senior Staff,d007,Sales
11667,Kristian,Marchegay,Senior Staff,d001,Marketing
11673,Henk,Felder,Technique Leader,d004,Production
11676,Valeri,Ferriere,Engineer,d004,Production
11681,Fumitake,Benzmuller,Senior Engineer,d004,Production
11684,Oksana,Gide,Senior Staff,d001,Marketing
11690,Domenick,Raczkowsky,Staff,d003,Human Resources
11693,Hideo,Coorg,Senior Engineer,d005,Development
11696,Dante,Rothe,Senior Staff,d007,Sales
11713,Danel,Heusch,Senior Engineer,d004,Production
11732,Sanjoy,Ranft,Senior Engineer,d004,Production
11733,Leszek,Sudbeck,Senior Engineer,d005,Development
11735,Amalendu,Picci,Senior Staff,d009,Customer Service
11736,Shugo,Uchoa,Senior Engineer,d004,Production
11737,Martina,Garnier,Assistant Engineer,d006,Quality Management
11746,Koichi,Marrakchi,Senior Staff,d007,Sales
11748,Lihong,Massonet,Engineer,d005,Development
11751,Jiafu,Emiris,Senior Staff,d008,Research
11756,Abdelwaheb,Vakili,Engineer,d005,Development
11763,Yuriy,Liesche,Engineer,d005,Development
11764,Sanjay,Anick,Senior Engineer,d004,Production
11765,Zorica,Junet,Senior Staff,d003,Human Resources
11769,Chandrasekaran,Lampe,Senior Staff,d008,Research
11770,Arumugam,Jakobus,Senior Engineer,d005,Development
11772,Gaurav,Penz,Engineer,d005,Development
11774,Aron,Wroclawski,Engineer,d004,Production
11778,Dhritiman,Fontan,Senior Engineer,d004,Production
11779,Shunichi,Thombley,Staff,d008,Research
11791,Gal,Mamelak,Senior Engineer,d005,Development
11797,Chenxi,Thambidurai,Senior Staff,d001,Marketing
11801,Tommaso,Dayang,Senior Staff,d007,Sales
11807,Chriss,Binding,Technique Leader,d004,Production
11810,Amabile,Bhattacharjee,Senior Engineer,d005,Development
11811,Herb,Boissier,Senior Staff,d007,Sales
11817,Niranjan,Markovitch,Senior Staff,d007,Sales
11822,Sastry,Madeira,Staff,d009,Customer Service
11823,Weiyi,Iacovou,Senior Engineer,d005,Development
11829,Chaosheng,Pettis,Assistant Engineer,d004,Production
11832,Arto,Zlotek,Engineer,d005,Development
11836,Ortrud,Bakhtari,Senior Staff,d008,Research
11841,Elvia,Bugrara,Staff,d001,Marketing
11842,Moto,Piazza,Senior Staff,d008,Research
11844,Shawna,Demeyer,Senior Engineer,d005,Development
11846,Fai,Perly,Senior Engineer,d004,Production
11853,Zeljko,Kusakabe,Senior Staff,d001,Marketing
11857,Divier,Farrag,Senior Staff,d007,Sales
11862,Alejandra,Deville,Senior Engineer,d004,Production
11864,Pradeep,Kriebel,Staff,d009,Customer Service
11868,Kwee,Demke,Engineer,d006,Quality Management
11869,Fumino,Luca,Engineer,d004,Production
11871,Nalini,Sommen,Senior Engineer,d005,Development
11872,Cheong,Riexinger,Senior Staff,d001,Marketing
11876,Leszek,Kobuchi,Senior Engineer,d005,Development
11881,Arra,Staelin,Senior Staff,d007,Sales
11888,Badri,Azulay,Senior Staff,d001,Marketing
11894,Mitchel,Validov,Senior Engineer,d005,Development
11896,Shaunak,Benzmuller,Technique Leader,d004,Production
11897,Cordelia,Setlzner,Senior Staff,d007,Sales
11906,Hideo,Boguraev,Engineer,d005,Development
11911,Ashish,Mondadori,Senior Engineer,d005,Development
11915,Miomir,Mawatari,Senior Engineer,d004,Production
11917,Jiakeng,VanScheik,Engineer,d004,Production
11926,Leni,Felcyn,Engineer,d004,Production
11931,Gunilla,Chiodo,Senior Staff,d008,Research
11933,Basil,Erman,Senior Engineer,d005,Development
11938,Aruna,Verspoor,Staff,d004,Production
11940,Ult,Anido,Assistant Engineer,d005,Development
11944,Along,Aumann,Senior Engineer,d006,Quality Management
11945,Limsoon,Marakhovsky,Staff,d003,Human Resources
11948,Yahiko,Nergos,Senior Engineer,d004,Production
11949,Martijn,Harbusch,Technique Leader,d004,Production
11951,Bernt,Haumacher,Senior Engineer,d005,Development
11965,Arup,Morrey,Engineer,d004,Production
11972,Sibyl,Beausoleil,Senior Staff,d001,Marketing
11980,Yechezkel,Pews,Staff,d007,Sales
11983,Jaana,Hedayat,Senior Engineer,d005,Development
11989,Erzsebet,Peltason,Technique Leader,d004,Production
11993,Marit,Dalphin,Senior Staff,d003,Human Resources
11994,Sigeru,Fiebach,Senior Staff,d001,Marketing
12007,Marko,Dehkordi,Senior Engineer,d005,Development
12011,Zhilian,Coorg,Senior Staff,d007,Sales
12015,Kensei,Guenter,Staff,d008,Research
12021,Chikara,Rahimi,Senior Engineer,d004,Production
12023,Chuanyi,Eppinger,Technique Leader,d006,Quality Management
12024,Mayumi,Lanzelotte,Staff,d003,Human Resources
12028,Ingemar,Walstra,Senior Engineer,d005,Development
12030,Shuky,Cromarty,Staff,d003,Human Resources
12034,Aemilian,Piazza,Staff,d007,Sales
12036,Mads,Ratzlaff,Senior Staff,d001,Marketing
12037,Arunas,Katzenelson,Senior Staff,d009,Customer Service
12040,Bluma,Kermarrec,Senior Staff,d001,Marketing
12043,Masaki,Lubachevsky,Staff,d008,Research
12044,Rance,Hemaspaandra,Senior Engineer,d004,Production
12047,Jordanka,Ligten,Assistant Engineer,d006,Quality Management
12050,Yuchang,Tchuente,Engineer,d004,Production
12053,Yechezkel,Pelc,Senior Engineer,d004,Production
12054,Odysseas,Braccini,Staff,d007,Sales
12060,Toshimi,Antonakopoulos,Technique Leader,d006,Quality Management
12062,Margareta,Worfolk,Senior Staff,d003,Human Resources
12063,Lein,Bale,Senior Engineer,d004,Production
12069,Ayonca,Burnard,Senior Engineer,d005,Development
12070,Ger,Shokrollahi,Technique Leader,d005,Development
12076,Karlis,Siprelle,Senior Staff,d007,Sales
12080,Panayotis,Feinberg,Senior Staff,d007,Sales
12082,Xinan,Yamaashi,Senior Staff,d007,Sales
12089,Bilhanan,Socorro,Senior Staff,d003,Human Resources
12090,Shigenori,Angelopoulos,Engineer,d004,Production
12091,Lansing,Cunliffe,Senior Engineer,d006,Quality Management
12092,Kauko,Unno,Senior Staff,d008,Research
12093,Evgueni,Oxenboll,Senior Engineer,d005,Development
